81,GO,São Simão,SAO SIMAO - POPULAR,POLO UAB - SAO SIMAO,"rua 14, esquina com 21 e 25.",,POPULAR,75890000,Escola Municipal de Ensino Fundamental  José porfírio nogueira,-18.975058,-50.5549719
82,GO,Uruana,URUANA - CENTRO,POLO UAB DE URUANA-GO,RUA 13 ,S/N,CENTRO,76335000, ,-15.5774156,-49.6503106
83,MA,Imperatriz,IMPERATRIZ - PRACA UNIAO,POLO UAB IMPERATRIZ,Dom Pedro II,S/N,Praça União,65901090,,-5.5205508,-47.4718408
84,MA,Porto Franco,PORTO FRANCO - VILA SAO FRANCISCO,POLO UAB - PORTO FRANCO,Av. Tiradentes,2060,Vila São Francisco,65970000, ,-6.3413816,-47.1752123
85,MG,Alterosa,ALTEROSA - CRUZEIRO,POLO DE EDUCACAO A DISTANCIA DA BAIXA MOGIANA - ALTEROSA - UAB,Rua José Joaquim Terra,65,Cruzeiro,37145000,,-21.2406306,-46.0944845
86,MG,Araçuaí,ARACUAI - CENTRO,CAED - ARACUAI - UAB,PRAÇA OLEGÁRIO MACIEL,32,CENTRO,39600000, ,-16.9775746,-41.9989718
87,MG,Araguari,ARAGUARI - FATIMA,POLO DE APOIO PRESENCIAL DE ARAGUARI - UAB,Praça Augusto Diniz,55,Fátima,38442148,,-18.6494308,-48.2084434
88,MG,Bicas,BICAS - CENTRO,POLO REGIONAL UNIVERSITARIO DE BICAS - UAB, RUA CÔNEGO PIO ,,CENTRO,36600000, ,-21.7427755,-43.1165621
89,MG,Boa Esperança,BOA ESPERANCA - OZANAN,POLO UAB - BOA ESPERANCA,Tonico Rodrigues,480,Ozanan,37170000,,-21.0165478,-45.6385125
90,MG,Buritis,BURITIS - VEREDAS,POLO UNIVERSITARIO DE BURITIS,Rua Ouro Preto,211,VEREDAS,38660000, ,-15.5262494,-46.670534
91,MG,Cambuí,CAMBUI - CENTRO,POLO UAB - CAMBUI,"RUA JOÃO MOREIRA SALLES,1º ANDAR ",690,CENTRO,37600000, 1º aNDAR,-22.577108,-46.0753991
92,MG,Campos Gerais,CAMPOS GERAIS - CENTRO,POLO UAB - CAMPOS GERAIS,Rua: Jorge de Paula Meinberg. ,689,Centro,37160000,,-21.2669413,-45.7142063
93,MG,Conselheiro Lafaiete,CONSELHEIRO LAFAIETE - SAO DIMAS,POLO UAB - CONSELHEIRO LAFAIETE,Rua Padre Teófilo Reyn,990,São Dimas,36400000, ,-20.6850848,-43.7525619
94,MG,Corinto,CORINTO - CLARINDO DE PAIVA,CENTRO TECNOLOGICO EDUCACIONAL DE CORINTO - CETEC - CORINTO - UAB,RUA RISOLETA LIMA,1041,CLARINDO DE PAIVA,39120000, Próximo ao posto RN,-18.5547431,-43.8290988
95,MG,Coromandel,COROMANDEL - SAO DOMINGOS,POLO DE APOIO PRESENCIAL UAB COROMANDEL,Rua Sebastião Lopes Pereira,264,São Domingos,38550000,,-18.4364551,-47.2142417
96,MG,Divinolândia de Minas,DIVINOLANDIA DE MINAS - CENTRO,"POLO UAB -"" PROFESSOR JOSE COELHO PERPETUO"" - DIVINOLANDIA DE MINAS -",PRAÇA PROFº CARVALHAIS,50,CENTRO,39735000,ESCOLA MUNICIPAL RUI BARBOSA,-18.7430637,-42.57056740000001
97,MG,Formiga,FORMIGA - ROSARIO,POLO UAB - FORMIGA,"Praça Padre Daniel Nascimento Lindo, ",1,ROSÁRIO,35570000,Escola Municipal Lídia Braga,-20.5923566,-45.4874873
98,MG,Governador Valadares,GOVERNADOR VALADARES - CENTRO,UAB - POLO DE APOIO PRESENCIAL DE EDUCACAO A DISTANCIA DE GOVERNADOR VALADARES,Rua Sete de Setembro,2479,Centro,35010172, ,-18.8519814,-41.9465174
99,MG,Ilicínea,ILICINEA - JARDIM PRIMAVERA,POLO UAB - ILICINEA,AVENIDA XV DE NOVEMBRO,1457,JARDIM PRIMAVERA,37175000, ,-20.9155765,-45.79002089999999
