935,UnB,EDUCACAO PARA AS RELACOES ETNICORRACIAIS,APERFEIÇOAMENTO
771,UEG,ADMINISTRACAO PUBLICA,BACHARELADO
1676,UEG,ENSINO DE CIENCIAS (CIENCIA E 10!),ESPECIALIZAÇÃO
1633,UEG,ENSINO DE MATEMATICA NO ENSINO MEDIO,ESPECIALIZAÇÃO
217,UEG,GENERO E DIVERSIDADE NA ESCOLA,APERFEIÇOAMENTO
774,UEG,GESTAO EM SAUDE,ESPECIALIZAÇÃO
772,UEG,GESTAO PUBLICA,ESPECIALIZAÇÃO
773,UEG,GESTAO PUBLICA MUNICIPAL,ESPECIALIZAÇÃO
1565,UEG,LIBRAS PARA EDUCACAO BASICA,ESPECIALIZAÇÃO
1566,UEG,OBJETOS DE APRENDIZAGEM,ESPECIALIZAÇÃO
66,UFG,ADMINISTRACAO,BACHARELADO
282,UFG,ARTES CENICAS,LICENCIATURA
68,UFG,ARTES VISUAIS,LICENCIATURA
283,UFG,EDUCACAO FISICA,LICENCIATURA
286,UFG,GENERO E DIVERSIDADE NA ESCOLA,APERFEIÇOAMENTO
1197,UFG,GENERO E DIVERSIDADE NA ESCOLA ,ESPECIALIZAÇÃO
1172,UFG,MIDIAS NA EDUCACAO,ESPECIALIZAÇÃO
287,UFG,TECNOLOGIAS APLICADA AO ENSINO DE BIOLOGIA,ESPECIALIZAÇÃO
388,UnB,GEOGRAFIA,LICENCIATURA
1177,UnB,GESTAO DE POLITICAS PUBLICAS EM GENERO E RACA,ESPECIALIZAÇÃO
674,UEG,COMPUTACAO,LICENCIATURA
675,UEG,HISTORIA,LICENCIATURA
1464,UFG,ADMINISTRACAO PUBLICA,BACHARELADO
1709,UFG,EDUCACAO FISICA ESCOLAR,ESPECIALIZAÇÃO
1711,UFG,ENSINO DE BIOLOGIA,ESPECIALIZAÇÃO
1713,UFG,ENSINO INTERDISCIPLINAR SOBRE INFANCIA E DIREITOS HUMANOS,ESPECIALIZAÇÃO
1279,UFG,ESTATUTO DA CRIANCA E DO ADOLESCENTE,EXTENSÃO
1465,UFG,GESTAO PUBLICA,ESPECIALIZAÇÃO
1760,UFG,INOVACAO EM MIDIAS INTERATIVAS,ESPECIALIZAÇÃO
384,UnB,BIOLOGIA,LICENCIATURA
1707,UFG,ARTE EDUCACAO INTERMEDIATICA DIGITAL,ESPECIALIZAÇÃO
69,UFG,FISICA,LICENCIATURA
216,UEG,CIENCIAS BIOLOGICAS,LICENCIATURA
284,UFG,EDUCACAO INTEGRAL E INTEGRADA,APERFEIÇOAMENTO
476,UnB,BIOLOGIA - PROLIC I,LICENCIATURA
474,UnB,BIOLOGIA - PROLIC II,LICENCIATURA
1332,UnB,EDUCACAO DO CAMPO,EXTENSÃO
738,UFG,BIOLOGIA,LICENCIATURA
224,UEMA,ADMINISTRACAO - PILOTO,BACHARELADO
670,UEMA,ADMINISTRACAO PUBLICA,BACHARELADO
1585,UEMA,ENSINO DE GENETICA,ESPECIALIZAÇÃO
227,UEMA,FILOSOFIA,LICENCIATURA
663,UEMA,FORMACAO PEDAGOGICA,FORMAÇÃO PEDAGÓGICA
228,UEMA,GENERO E DIVERSIDADE NA ESCOLA,APERFEIÇOAMENTO
229,UEMA,PEDAGOGIA,LICENCIATURA
1433,UEMA,PEDAGOGIA (COMPLEMENTACAO EM PEDAGOGIA),LICENCIATURA
1583,UEMA,PSICOLOGIA DA EDUCACAO,ESPECIALIZAÇÃO
460,UFMA,ARTES VISUAIS,LICENCIATURA
1044,UFMA,COMPUTACAO,LICENCIATURA
902,UFMA,EDUCACAO DE JOVENS E ADULTOS,APERFEIÇOAMENTO
948,UFMA,EDUCACAO DO CAMPO,ESPECIALIZAÇÃO
1322,UFMA,EDUCACAO EM DIREITOS HUMANOS,ESPECIALIZAÇÃO
977,UFMA,EDUCACAO INTEGRAL E INTEGRADA,APERFEIÇOAMENTO
904,UFMA,EDUCACAO PARA A DIVERSIDADE,APERFEIÇOAMENTO
299,UFMA,GENERO E DIVERSIDADE NA ESCOLA,APERFEIÇOAMENTO
1178,UFMA,GESTAO DE POLITICAS PUBLICAS EM GENERO E RACA,ESPECIALIZAÇÃO
780,UFMA,GESTAO EM SAUDE,ESPECIALIZAÇÃO
781,UFMA,GESTAO PUBLICA,ESPECIALIZAÇÃO
782,UFMA,GESTAO PUBLICA MUNICIPAL,ESPECIALIZAÇÃO
1054,UFMA,LETRAS PORTUGUES,LICENCIATURA
300,UFMA,MATEMATICA,LICENCIATURA
955,UFMA,MEDIADORES DE LEITURA,APERFEIÇOAMENTO
452,UFMA,TEATRO,LICENCIATURA
188,IFMA,INFORMATICA,LICENCIATURA
226,UEMA,EDUCACAO DO CAMPO,ESPECIALIZAÇÃO
72,UFMA,ADMINISTRACAO,BACHARELADO
779,UFMA,ADMINISTRACAO PUBLICA,BACHARELADO
993,UFMA,EDUCACAO EM DIREITOS HUMANOS,APERFEIÇOAMENTO
73,UFMA,QUIMICA,LICENCIATURA
90,UFOP,ADMINISTRACAO PUBLICA,BACHARELADO
1341,UFOP,GEOGRAFIA,LICENCIATURA
92,UFOP,MATEMATICA,LICENCIATURA
91,UFOP,PRATICAS PEDAGOGICAS,ESPECIALIZAÇÃO
1477,UNIFAL-MG,GESTAO PUBLICA MUNICIPAL,ESPECIALIZAÇÃO
403,UNIFAL-MG,TEORIAS E PRATICAS NA EDUCACAO,ESPECIALIZAÇÃO
172,UNIFEI,FISICA,LICENCIATURA
171,UNIFEI,GESTAO DE PESSOAS E PROJETOS SOCIAIS,ESPECIALIZAÇÃO
1453,UEMG,GESTAO PUBLICA,ESPECIALIZAÇÃO
806,UFLA,ADMINISTRACAO PUBLICA,BACHARELADO
79,UFMG,BIOLOGIA,LICENCIATURA
923,UFMG,EDUCACAO AMBIENTAL,APERFEIÇOAMENTO
954,UFMG,EDUCACAO DO CAMPO,APERFEIÇOAMENTO
