"id","cidade","uf","lat","lng","nome_polo","nome_fantasia","logradouro","numero","bairro","cep","complemento","conceito"
"89","Boa Esperança","MG","-21.01654780","-45.63851250","BOA ESPERANCA - OZANAN","POLO UAB - BOA ESPERANCA","Tonico Rodrigues","480","Ozanan","37170000","","AA"
"90","Buritis","MG","-15.52624940","-46.67053400","BURITIS - VEREDAS","POLO UNIVERSITARIO DE BURITIS","Rua Ouro Preto","211","VEREDAS","38660000"," ","AA"
"91","Cambuí","MG","-22.57710800","-46.07539910","CAMBUI - CENTRO","POLO UAB - CAMBUI","RUA JOÃO MOREIRA SALLES,1º ANDAR ","690","CENTRO","37600000"," 1º aNDAR","AA"
"92","Campos Gerais","MG","-21.26694130","-45.71420630","CAMPOS GERAIS - CENTRO","POLO UAB - CAMPOS GERAIS","Rua: Jorge de Paula Meinberg. ","689","Centro","37160000","","AA"
"93","Conselheiro Lafaiete","MG","-20.68508480","-43.75256190","CONSELHEIRO LAFAIETE - SAO DIMAS","POLO UAB - CONSELHEIRO LAFAIETE","Rua Padre Teófilo Reyn","990","São Dimas","36400000"," ","AA"
"94","Corinto","MG","-18.55474310","-43.82909880","CORINTO - CLARINDO DE PAIVA","CENTRO TECNOLOGICO EDUCACIONAL DE CORINTO - CETEC - CORINTO - UAB","RUA RISOLETA LIMA","1041","CLARINDO DE PAIVA","39120000"," Próximo ao posto RN","AA"
"95","Coromandel","MG","-18.43645510","-47.21424170","COROMANDEL - SAO DOMINGOS","POLO DE APOIO PRESENCIAL UAB COROMANDEL","Rua Sebastião Lopes Pereira","264","São Domingos","38550000","","AA"
"96","Divinolândia de Minas","MG","-18.74306370","-42.57056740","DIVINOLANDIA DE MINAS - CENTRO","POLO UAB -" PROFESSOR JOSE COELHO PERPETUO" - DIVINOLANDIA DE MINAS -","PRAÇA PROFº CARVALHAIS","50","CENTRO","39735000","ESCOLA MUNICIPAL RUI BARBOSA","AA"
"97","Formiga","MG","-20.59235660","-45.48748730","FORMIGA - ROSARIO","POLO UAB - FORMIGA","Praça Padre Daniel Nascimento Lindo, ","1","ROSÁRIO","35570000","Escola Municipal Lídia Braga","AA"
"98","Governador Valadares","MG","-18.85198140","-41.94651740","GOVERNADOR VALADARES - CENTRO","UAB - POLO DE APOIO PRESENCIAL DE EDUCACAO A DISTANCIA DE GOVERNADOR VALADARES","Rua Sete de Setembro","2479","Centro","35010172"," ","AA"
"99","Ilicínea","MG","-20.91557650","-45.79002090","ILICINEA - JARDIM PRIMAVERA","POLO UAB - ILICINEA","AVENIDA XV DE NOVEMBRO","1457","JARDIM PRIMAVERA","37175000"," ","FR"
"100","Ipatinga","MG","-19.50949240","-42.56274760","IPATINGA - BOM RETIRO","POLO UAB DE IPATINGA - UNIVERSIDADE ABERTA DO BRASIL","AV. FERNANDO DE NORONHA","490","BOM RETIRO","35160225"," Anexo a Escola Municipal Padre Cícero de Castro","AA"
"101","Itabira","MG","-19.63811130","-43.23097830","ITABIRA - AMAZONAS","POLO DE APOIO PRESENCIAL DE ITABIRA - UAB","Rua São Paulo","377","Amazonas","35900373","","FR"
"102","Itamonte","MG","-22.31547250","-44.73814320","ITAMONTE - CENTRO","POLO UAB - ITAMONTE ","Rua Presidente Vagas","149","CENTRO","37466000"," ","AA"
"103","Januária","MG","-15.48302390","-44.38383110","JANUARIA - VILA FATIMA","POLO UAB - JANUARIA","Rua do Sertanejo  ","212","Vila Fátima","39480000"," Prédio do Campus/UNIMONTES","AA"
"104","João Monlevade","MG","-19.82159200","-43.13813600","JOAO MONLEVADE - VILA TANQUE","POLO DE APOIO PRESENCIAL UAB - JOAO MONLEVADE","Rua Dezesseis","24","Vila Tanque","35930408","Bloco 3 e 4","AA"
"105","Lagamar","MG","-18.15577510","-46.74784930","LAGAMAR - CENTRO","ENSINO A DISTANCIA DANIEL VINICIUS SANTOS MOURA - LAGAMAR - UAB","RUA AMAZONAS ","147 A","CENTRO","38785000"," ","AA"
"107","Salinas","MG","-16.08022420","-42.11773960","SALINAS - CENTRO","POLO DE APOIO PRESENCIAL DO SISTEMA UAB - SALINAS","PRAÇA DR. MORAIS","114","CENTRO","39560000"," ","AA"
"108","Santa Rita de Caldas","MG","-21.97209120","-46.24743810","SANTA RITA DE CALDAS - CENTRO","POLO PRESENCIAL UAB - SANTA RITA DE CALDAS","RUA PREFEITO SEBASTIÃO JANUZI","20","CENTRO","37775000"," ","AA"
"109","São João del Rei","MG","-21.13841280","-44.26729820","SAO JOAO DEL REI - TEJUCO","POLO DE APOIO PRESENCIAL DE SAO JOAO DEL-REI - UAB","Avenida General Osório","779","Tejuco","36300000","","FR"
"110","Teófilo Otoni","MG","-17.86000890","-41.50910420","TEOFILO OTONI - VILA SANTA CLARA","CENTRO DE APOIO A EDUCACAO A DISTANCIA - TEOFILO OTONI - UAB","RUA ARISTÓTELES DANTAS GUIMARÃES","166","VILA SANTA CLARA","39800000"," ","AA"
"111","Uberaba","MG","-19.73444450","-47.92198520","UBERABA - BOA VISTA","POLO DE APOIO DE PRESENCIAL DE UBERABA - UAB","AVENIDA ELIAS CRUVINEL ","1045","BOA VISTA","28070100","ESCOLA MUN. BOA VISTA","AA"
"112","Água Clara","MS","-19.58639530","-53.21804950","AGUA CLARA - JARDIM DAS PALMEIRAS","POLO UAB - AGUA CLARA","RUA ALBERICO BARBOSA DE SOUZA","39","JARDIM DAS PALMEIRAS","79680000"," ","AA"
"113","Rio Brilhante","MS","-21.78031450","-54.52180740","RIO BRILHANTE - ZONA RURAL","POLO UAB - RIO BRILHANTE","Br.163 - Km 314","","ZONA RURAL","79130000"," Fazenda CAdeado Parte II","AA"
"114","São Gabriel do Oeste","MS","-19.15136050","-54.52180740","SAO GABRIEL DO OESTE - ZONA RURAL","POLO DE APOIO PRESENCIAL DA UAB EM SAO GABRIEL DO OESTE","Rodovia São Gabriel Rio Negro Km 04","","Zona Rural","79490000","Antiga Escola Agrícola","AA"
"115","Juara","MT","-11.00498360","-57.46272590","JUARA - CENTRO","POLO UAB - JUARA","RUA PIRACICABA","105-W","CENTRO","78575000","","AA"
